Date_Time,actual,predicted,previous_day_bo,Long/Short,Profit (pips)
2018-08-13,1.1392495833333334,1.1373863,1.1451979166666668,Short,0.005948333333333444
2018-08-14,1.1382675000000002,1.136142,1.1392495833333334,Short,0.0009820833333331613
2018-08-15,1.1331029166666668,1.138034,1.1382675000000002,Short,0.005164583333333361
2018-08-16,1.1372091666666666,1.1353815,1.1331029166666668,Long,0.004106249999999756
2018-08-17,1.1400637500000002,1.1384386,1.1372091666666666,Long,0.002854583333333549
2018-08-20,1.1438241666666666,1.1422594,1.1400637500000002,Long,0.0037604166666664884
2018-08-21,1.153469583333333,1.1521324,1.1438241666666666,Long,0.009645416666666407
2018-08-22,1.15866125,1.1572034,1.153469583333333,Long,0.0051916666666669276
2018-08-23,1.1559441666666666,1.1541831,1.15866125,Short,0.0027170833333334254
2018-08-24,1.1587191666666667,1.1575316,1.1559441666666666,Long,0.002775000000000194
2018-08-27,1.1643883333333334,1.1630957,1.1587191666666667,Long,0.005669166666666614
2018-08-28,1.1695624999999998,1.168188,1.1643883333333334,Long,0.00517416666666648
2018-08-29,1.1686341666666669,1.1687076,1.1695624999999998,Short,0.0009283333333329757
2018-08-30,1.1682075000000005,1.1666852,1.1686341666666669,Short,0.0004266666666663532
2018-08-31,1.164026666666667,1.1624143,1.1682075000000005,Short,0.004180833333333522
2018-09-04,1.1578787499999998,1.1562529,1.164026666666667,Short,0.006147916666667141
2018-09-05,1.1601191666666668,1.1587418,1.1578787499999998,Long,0.0022404166666669667
2018-09-06,1.1629291666666666,1.1614429,1.1601191666666668,Long,0.002809999999999757
2018-09-07,1.1597479166666669,1.1580427,1.1629291666666666,Short,0.0031812499999996913
2018-09-10,1.1576470833333332,1.1561618,1.1597479166666669,Short,0.0021008333333336626
2018-09-11,1.1595029166666666,1.1579312,1.1576470833333332,Long,0.0018558333333333898
2018-09-12,1.1602966666666668,1.1588595,1.1595029166666666,Short,-0.0007937500000001485
2018-09-13,1.165169583333333,1.1639477,1.1602966666666668,Long,0.004872916666666338
2018-09-14,1.16713125,1.1654689,1.165169583333333,Long,0.0019616666666668614
2018-09-17,1.166102083333333,1.1647441,1.16713125,Short,0.0010291666666668586
2018-09-18,1.1682754166666665,1.1668956,1.166102083333333,Long,0.0021733333333333604
2018-09-19,1.1676883333333332,1.1662815,1.1682754166666665,Short,0.0005870833333332381
2018-09-20,1.1726579166666664,1.1716652,1.1676883333333332,Long,0.004969583333333194
2018-09-21,1.1763070833333331,1.1750183,1.1726579166666664,Long,0.0036491666666667033
2018-09-24,1.17542125,1.1741719,1.1763070833333331,Short,0.0008858333333330304
2018-09-25,1.1761666666666668,1.1749078,1.17542125,Short,-0.0007454166666667206
2018-09-26,1.1754091666666666,1.1741335,1.1761666666666668,Short,0.0007575000000001886
2018-09-27,1.1695441666666666,1.1678054,1.1754091666666666,Short,0.005865000000000009
2018-09-28,1.1616366666666669,1.1599083,1.1695441666666666,Short,0.007907499999999734
2018-10-01,1.1590275,1.1573164,1.1616366666666669,Short,0.0026091666666667734
2018-10-02,1.1547733333333332,1.1530015,1.1590275,Short,0.004254166666666892
2018-10-03,1.154216666666667,1.1522087,1.1547733333333332,Short,0.0005566666666663167
2018-10-04,1.1495583333333332,1.1478457,1.154216666666667,Short,0.004658333333333653
2018-10-05,1.1511979166666666,1.149095,1.1495583333333332,Short,-0.001639583333333361
2018-10-09,1.1478179166666662,1.1459682,1.1511979166666666,Short,0.0033800000000003827
2018-10-10,1.1513020833333332,1.1495693,1.1478179166666662,Long,0.0034841666666669546
2018-10-11,1.1565620833333334,1.1550977,1.1513020833333332,Long,0.0052600000000002645
