,Date_Time,BO,BH,BL,BC
2020,2013-01-28,1.3452737500000005,1.3459445833333337,1.3442679166666665,1.3451966666666664
2021,2013-01-29,1.345855,1.3468783333333334,1.3451775000000001,1.3460308333333335
2022,2013-01-30,1.3529970833333334,1.3540458333333334,1.3524695833333331,1.3533304166666664
2023,2013-01-31,1.3568662499999997,1.3576962499999998,1.35615125,1.3570537500000002
2024,2013-02-01,1.36414375,1.3655108333333332,1.3629283333333333,1.3642329166666665
2025,2013-02-04,1.3577529166666666,1.3584145833333334,1.3564445833333334,1.3571879166666665
2026,2013-02-05,1.35304625,1.3544916666666669,1.3520658333333335,1.3533454166666665
2027,2013-02-06,1.3543704166666668,1.355052083333333,1.3530658333333332,1.35411125
2028,2013-02-07,1.3480441666666667,1.3489783333333334,1.3465041666666666,1.347460416666667
2029,2013-02-08,1.3388541666666667,1.339755,1.3378608333333337,1.3387591666666667
2030,2013-02-11,1.3386112500000005,1.33967375,1.3377591666666666,1.3387595833333334
2031,2013-02-12,1.3420083333333335,1.3431916666666668,1.341145,1.3422133333333333
2032,2013-02-13,1.3457083333333333,1.3466099999999999,1.344805833333333,1.3456795833333333
2033,2013-02-14,1.3380041666666667,1.3387583333333335,1.3367558333333331,1.3376070833333333
2034,2013-02-15,1.3350704166666665,1.3361558333333337,1.3340499999999997,1.33506625
2035,2013-02-18,1.3345479166666667,1.3352770833333334,1.3338754166666664,1.3345870833333333
2036,2013-02-19,1.3358333333333334,1.3368591666666667,1.3353037500000002,1.3360325000000002
2037,2013-02-20,1.3373808333333332,1.33829,1.3361741666666667,1.3368745833333335
2038,2013-02-21,1.3220233333333333,1.3229279166666668,1.3206520833333333,1.3216904166666665
2039,2013-02-22,1.319225,1.3202970833333334,1.3182404166666666,1.3191120833333332
2040,2013-02-25,1.3191591666666664,1.3206545833333332,1.3173633333333334,1.3186375000000001
2041,2013-02-26,1.3069966666666666,1.3083345833333335,1.3054666666666668,1.3069987500000002
2042,2013-02-27,1.3090225,1.3103741666666668,1.30802375,1.3093845833333333
2043,2013-02-28,1.3112175000000001,1.311970833333333,1.3100862500000001,1.3108233333333335
2044,2013-03-01,1.30368,1.3046674999999999,1.3025716666666665,1.30353
2045,2013-03-04,1.30094375,1.3019074999999998,1.3000570833333336,1.3010270833333333
2046,2013-03-05,1.3037854166666663,1.3046024999999999,1.3029404166666667,1.3038320833333332
2047,2013-03-06,1.3027520833333335,1.3033441666666665,1.3017983333333338,1.3024591666666667
2048,2013-03-07,1.3041275,1.3055529166666664,1.3034220833333334,1.3046720833333334
2049,2013-03-08,1.3049411999999998,1.3059288,1.3036864,1.3045276000000001
2050,2013-03-11,1.3010345833333332,1.3019045833333336,1.3004650000000002,1.3012295833333332
2051,2013-03-12,1.3025979166666666,1.3034079166666668,1.3017633333333334,1.302585833333333
2052,2013-03-13,1.2995895833333333,1.3003208333333334,1.2985650000000002,1.2992954166666666
2053,2013-03-14,1.2969225,1.29799,1.29607125,1.2971445833333333
2054,2013-03-15,1.3023370833333336,1.3037366666666665,1.3014387500000002,1.302545
2055,2013-03-18,1.293266666666667,1.2947145833333333,1.2922274999999996,1.2934841666666668
2056,2013-03-19,1.2922008333333335,1.2933774999999996,1.2907095833333335,1.2918725
2057,2013-03-20,1.2911504166666665,1.2925958333333334,1.2904958333333334,1.2914649999999999
2058,2013-03-21,1.2919950000000002,1.2929483333333334,1.2908333333333335,1.2918458333333334
2059,2013-03-22,1.2939087500000002,1.29569,1.2933029166666665,1.294557083333333
2060,2013-03-25,1.2952945833333331,1.29614375,1.2935275,1.294625
2061,2013-03-26,1.28625625,1.2871341666666667,1.2852970833333333,1.2862704166666667
2062,2013-03-27,1.2806054166666667,1.2813100000000002,1.2795750000000001,1.2802470833333335
2063,2013-03-28,1.2800170833333335,1.2812033333333332,1.2792679166666667,1.2801816666666666
2064,2013-03-29,1.2816445833333336,1.2822358333333335,1.2811079166666666,1.2816708333333335
2065,2013-04-01,1.2818220833333331,1.2826358333333334,1.2813025,1.28200625
2066,2013-04-02,1.2840375000000002,1.2847170833333337,1.2831424999999999,1.2839129166666667
2067,2013-04-03,1.2826420833333334,1.2833029166666667,1.2819487499999997,1.2827645833333332
2068,2013-04-04,1.2855154166666665,1.2870995833333334,1.2845404166666665,1.2858395833333334
2069,2013-04-05,1.2959933333333336,1.2974941666666666,1.29526875,1.2963229166666668
2070,2013-04-08,1.3005204166666664,1.301215416666667,1.2996625,1.300677083333333
2071,2013-04-09,1.3056895833333335,1.30686125,1.3048787499999999,1.305899166666667
2072,2013-04-10,1.3079316666666667,1.30870625,1.3071441666666666,1.30781375
2073,2013-04-11,1.3091070833333331,1.3101720833333335,1.3084970833333334,1.3093733333333333
2074,2013-04-12,1.3092329166666663,1.3100483333333333,1.308315,1.3091366666666664
2075,2013-04-15,1.3071091666666663,1.307974166666667,1.3060591666666672,1.3069287499999998
2076,2013-04-16,1.3109116666666667,1.3125466666666668,1.3101762500000003,1.3114358333333334
2077,2013-04-17,1.3112937500000001,1.3122375,1.30978375,1.3106920833333333
2078,2013-04-18,1.3052883333333336,1.3063083333333336,1.304295416666667,1.3053687500000002
2079,2013-04-19,1.3072020833333333,1.3081545833333335,1.3062291666666666,1.3071216666666667
2080,2013-04-22,1.305434166666667,1.3062245833333335,1.3046341666666665,1.3054450000000004
2081,2013-04-23,1.3014250000000003,1.3023029166666666,1.3002879166666668,1.301159166666667
2082,2013-04-24,1.300399583333333,1.3012183333333336,1.2995041666666667,1.3004858333333336
2083,2013-04-25,1.3032083333333335,1.3041491666666667,1.3023216666666666,1.30315875
2084,2013-04-26,1.3025049999999998,1.303585416666667,1.3015895833333337,1.3025704166666665
2085,2013-04-29,1.3076479166666668,1.3085962500000001,1.3071391666666663,1.3078675000000002
2086,2013-04-30,1.3117612500000002,1.3127779166666664,1.310805,1.3120691666666664
2087,2013-05-01,1.3184883333333333,1.3194537499999999,1.3176954166666668,1.3185399999999998
2088,2013-05-02,1.312787083333333,1.31356375,1.3111341666666667,1.3123112499999998
2089,2013-05-03,1.30977875,1.3112383333333333,1.3088762500000002,1.3099808333333336
